,Res_0,Res_1,Res_2,Res_3,Res_4,Res_5
2019-10-22,15681.818181818184,10000.000000000002,11785.714285714286,14166.666666666668,17500.0,14166.666666666668
2019-10-23,16730.76923076923,11785.714285714286,11785.714285714286,15681.818181818184,18776.595744680853,15681.818181818184
2019-10-24,17500.0,12425.373134328358,12884.615384615387,17500.0,19722.222222222223,16730.76923076923
2019-10-25,19722.222222222223,13629.032258064515,14166.666666666668,19722.222222222223,22500.000000000004,17500.0
2019-10-28,21309.52380952381,14166.666666666668,15681.818181818184,22500.000000000004,23815.789473684214,18776.595744680853
2019-10-31,22500.000000000004,15681.818181818184,15681.818181818184,22500.000000000004,26071.428571428572,19722.222222222223
2019-11-07,26071.428571428572,16547.61904761905,17500.0,22500.000000000004,28269.230769230773,21029.411764705885
2019-11-14,28750.0,17500.0,18333.333333333332,26071.428571428572,28750.0,21309.52380952381
2019-11-28,30833.333333333336,22500.000000000004,22500.000000000004,33214.28571428572,30833.333333333336,22500.000000000004
